Cust_id,Age,Account_balance,Personal_lone_ind,Home_lone_ind,Prime_Customer_ind,Overall_Satisfaction
100105,48,58979.78,1,0,0,Dissatisfied
100106,65,1841.06,1,1,1,Satisfied
100107,32,76339.59,0,0,1,Dissatisfied
100108,25,71588.41,1,0,0,Satisfied
100109,31,37262.35,1,1,1,Dissatisfied
100110,40,6240.66,0,0,0,Dissatisfied
100111,77,75738.32,0,0,0,Dissatisfied
100112,74,95562.34,1,0,0,Satisfied
100113,79,24775.01,1,0,0,Dissatisfied
100114,57,33028.94,1,0,0,Dissatisfied
100115,38,19197.48,1,0,1,Satisfied
100116,33,58116.68,0,1,1,Dissatisfied
100117,62,16329.3,0,1,1,Dissatisfied
100118,35,36263.2,0,0,0,Satisfied
100119,64,70004.29,0,0,0,Satisfied
100120,70,56451.48,0,1,0,Satisfied
100121,41,39259.79,0,1,1,Dissatisfied
100122,43,42604.71,0,0,1,Dissatisfied
100123,42,56648.98,0,1,1,Satisfied
100124,77,1580.61,0,0,0,Dissatisfied
100125,77,8772.48,0,1,0,Dissatisfied
100126,77,88244.55,0,0,0,Dissatisfied
100127,62,8710.02,0,1,1,Satisfied
100128,58,70973.56,1,0,1,Dissatisfied
100129,46,92083.78,1,1,0,Satisfied
100130,32,27797.68,0,0,0,Dissatisfied
100131,62,37678.65,0,0,1,Satisfied
100132,18,57323.22,1,1,0,Dissatisfied
100133,42,88289.19,1,1,1,Dissatisfied
100134,24,94248.65,1,1,0,Satisfied
100135,26,74216.76,0,0,0,Satisfied
100136,41,9575.36,1,1,1,Dissatisfied
100137,18,67246.26,1,1,1,Dissatisfied
100138,61,41620.07,1,0,0,Satisfied
100139,25,47599.4,0,0,1,Dissatisfied
100140,41,5865.69,1,1,1,Satisfied
100141,28,19915.15,1,1,0,Satisfied
100142,68,79260.85,1,1,0,Satisfied
100143,34,45941.92,0,1,0,Dissatisfied
100144,25,30864.56,1,1,0,Dissatisfied
100145,52,39017.89,0,1,1,Dissatisfied
100146,52,85585.55,0,1,0,Dissatisfied
100147,50,75150.9,1,1,0,Dissatisfied
100148,76,27959.22,0,1,1,Dissatisfied
100149,22,12632.68,1,0,0,Dissatisfied
100150,59,25947.82,1,0,1,Dissatisfied
100151,56,92154.89,0,0,0,Dissatisfied
100152,75,58577.29,1,1,1,Satisfied
100153,58,53814.54,1,0,1,Satisfied
100154,45,60042.97,0,0,1,Satisfied
100155,24,37236.8,1,0,1,Dissatisfied
100156,26,80903.6,0,1,0,Satisfied
100157,25,52805.34,0,1,0,Dissatisfied
100158,29,12558.04,0,1,1,Satisfied
100159,51,13777.45,0,0,1,Dissatisfied
100160,50,54149.06,0,0,0,Satisfied
100161,65,93720.45,1,0,1,Dissatisfied
100162,72,31526.86,1,0,0,Dissatisfied
100163,40,87084.58,1,1,1,Dissatisfied
100164,79,76645.46,0,0,0,Dissatisfied
100165,41,25533.43,1,0,0,Dissatisfied
100166,54,4597.73,0,0,0,Satisfied
100167,52,11082.88,0,0,0,Satisfied
100168,61,73120.9,0,0,0,Dissatisfied
100169,57,20767.3,0,0,0,Satisfied
100170,39,37755.82,0,0,0,Dissatisfied
100171,44,50668.22,1,0,1,Dissatisfied
100172,52,72821.35,1,0,0,Satisfied
100173,18,12209.89,0,1,0,Satisfied
100174,52,41230.27,0,1,1,Satisfied
100175,54,49022.22,0,0,1,Dissatisfied
100176,64,54541.88,1,1,0,Satisfied
100177,31,82017.7,1,1,1,Satisfied
100178,20,17996.14,1,0,1,Dissatisfied
100179,18,80975.31,1,0,1,Satisfied
100180,22,69594.96,0,0,1,Dissatisfied
100181,43,56031.21,1,0,1,Dissatisfied
100182,72,70253.26,0,1,0,Satisfied
100183,31,41789.76,0,0,1,Dissatisfied
100184,56,14701.36,1,1,1,Dissatisfied
100185,44,66910.76,0,0,0,Dissatisfied
100186,26,52942.56,1,1,0,Dissatisfied
100187,32,64298.11,0,1,0,Dissatisfied
100188,32,34461.88,1,1,1,Dissatisfied
100189,43,90779.79,0,1,0,Dissatisfied
100190,59,59149.62,0,0,0,Dissatisfied
100191,77,9454.85,1,1,1,Dissatisfied
100192,30,45530.6,1,0,0,Satisfied
100193,68,75879.25,1,1,1,Satisfied
100194,49,79619.32,1,0,0,Satisfied
100195,56,49965.11,1,0,0,Dissatisfied
100196,66,89580.01,1,1,0,Dissatisfied
100197,69,27499.18,0,0,0,Satisfied
100198,78,41649.27,0,0,0,Dissatisfied
100199,49,89961.09,0,0,1,Satisfied
100200,21,89729.41,1,1,1,Dissatisfied
100201,47,68885.56,0,1,1,Dissatisfied
100202,54,86039.07,1,1,0,Dissatisfied
100203,40,9788.55,1,1,0,Dissatisfied
100204,56,86634.5,1,0,0,Dissatisfied
100205,62,32741.37,0,0,0,Dissatisfied
100206,32,18654.82,0,1,1,Satisfied
100207,60,24697.61,1,1,0,Satisfied
100208,46,42378.88,0,0,1,Satisfied
100209,53,25868.01,0,0,1,Satisfied
100210,30,32736.19,0,0,1,Satisfied
100211,49,14362.87,0,0,1,Dissatisfied
100212,24,30321.5,0,0,0,Satisfied
100213,76,57656.1,1,0,1,Dissatisfied
100214,68,44743.52,0,0,0,Satisfied
100215,39,35325.16,1,0,0,Dissatisfied
100216,45,74898.76,0,1,0,Satisfied
100217,19,89457.49,1,1,0,Dissatisfied
100218,59,75922.13,1,0,0,Dissatisfied
100219,62,33868.07,0,0,0,Satisfied
100220,79,74699.77,0,1,0,Satisfied
100221,74,16046.04,0,0,1,Satisfied
100222,70,13901.48,1,1,0,Satisfied
100223,23,35217.08,1,0,0,Satisfied
100224,45,80962.53,1,1,0,Dissatisfied
100225,45,25388.48,0,0,1,Dissatisfied
100226,61,7262.09,0,0,0,Dissatisfied
100227,61,14039.24,0,1,0,Dissatisfied
100228,37,86015.75,0,1,0,Dissatisfied
100229,47,63744.55,1,0,1,Dissatisfied
100230,79,26066.92,0,1,0,Dissatisfied
100231,28,55974.29,1,0,0,Dissatisfied
100232,75,53230.38,1,1,0,Satisfied
100233,72,65888.16,1,0,1,Dissatisfied
100234,45,24085.57,0,0,0,Dissatisfied
100235,42,86575.9,1,1,1,Dissatisfied
100236,56,31627.49,1,0,0,Dissatisfied
100237,79,69719.03,1,0,0,Satisfied
100238,50,2596.34,1,0,0,Satisfied
100239,18,37893.06,1,0,1,Dissatisfied
100240,74,35819.27,1,1,0,Dissatisfied
100241,44,54804.96,0,0,0,Dissatisfied
100242,79,8200.89,1,1,1,Satisfied
100243,74,79223.01,1,0,0,Satisfied
100244,69,22560.3,1,0,0,Dissatisfied
100245,30,68026.74,1,0,0,Satisfied
100246,58,80518.0,0,1,1,Dissatisfied
100247,20,56625.82,1,0,1,Satisfied
100248,56,74347.44,1,0,1,Dissatisfied
100249,23,66524.17,0,0,0,Dissatisfied
100250,25,36197.45,0,1,0,Dissatisfied
100251,44,81077.0,1,0,0,Dissatisfied
100252,26,30175.44,0,1,0,Satisfied
100253,79,57550.08,0,0,0,Satisfied
100254,54,74794.38,0,0,1,Dissatisfied
100255,50,38516.64,1,0,0,Dissatisfied
100256,68,30973.99,0,0,1,Dissatisfied
100257,59,46475.26,0,0,0,Dissatisfied
100258,61,81978.39,1,1,1,Dissatisfied
100259,41,93062.25,1,0,0,Dissatisfied
100260,32,54963.26,1,0,0,Satisfied
100261,76,66485.15,0,0,0,Satisfied
100262,71,90424.09,1,0,1,Dissatisfied
100263,49,10756.14,0,0,1,Satisfied
100264,49,23975.78,1,1,0,Satisfied
100265,41,71181.1,1,0,0,Dissatisfied
100266,58,82550.7,0,1,0,Dissatisfied
100267,69,85845.87,1,0,0,Satisfied
100268,66,42095.61,0,0,1,Satisfied
100269,79,9844.65,1,0,0,Dissatisfied
100270,66,44340.37,0,0,0,Satisfied
100271,75,23842.72,1,0,1,Dissatisfied
100272,69,29828.45,0,0,0,Dissatisfied
100273,29,77454.49,0,0,1,Satisfied
100274,79,8477.18,1,1,0,Satisfied
100275,56,82930.54,1,0,1,Satisfied
100276,19,43339.24,1,1,0,Satisfied
100277,20,60010.33,0,0,0,Dissatisfied
100278,66,9875.57,0,1,1,Dissatisfied
100279,54,34398.55,1,0,0,Dissatisfied
100280,66,9880.39,0,0,1,Dissatisfied
100281,73,96192.83,0,1,1,Satisfied
100282,34,80918.9,1,0,1,Dissatisfied
100283,76,46503.64,0,0,0,Dissatisfied
100284,66,23136.65,0,0,0,Satisfied
100285,19,93412.06,0,0,1,Dissatisfied
100286,19,35115.06,1,1,1,Dissatisfied
100287,45,16937.46,1,1,1,Satisfied
100288,71,56753.27,0,1,0,Satisfied
100289,40,94433.64,1,1,1,Satisfied
100290,54,1379.2,0,0,0,Satisfied
100291,49,24574.36,1,0,1,Dissatisfied
100292,50,93906.32,1,1,0,Dissatisfied
100293,18,17937.51,1,0,0,Dissatisfied
100294,36,12211.1,0,0,0,Satisfied
100295,79,57448.53,1,0,1,Dissatisfied
100296,19,86322.54,1,1,1,Satisfied
100297,70,48233.87,1,0,1,Dissatisfied
100298,61,99461.86,1,1,0,Satisfied
100299,43,68238.0,1,0,0,Dissatisfied
100300,49,8333.42,0,0,0,Satisfied
100301,23,99290.38,1,1,0,Satisfied
100302,49,41381.53,1,1,0,Satisfied
100303,72,29452.85,1,0,0,Satisfied
100304,21,56230.04,0,0,0,Dissatisfied
100305,72,31126.45,0,0,0,Dissatisfied
100306,28,9559.29,0,1,0,Dissatisfied
100307,73,1141.41,0,0,1,Dissatisfied
100308,76,45508.75,0,0,1,Satisfied
100309,34,83849.48,1,1,1,Satisfied
100310,55,57659.2,0,0,1,Dissatisfied
100311,41,99921.52,0,0,0,Satisfied
100312,22,29397.82,0,1,1,Satisfied
100313,69,28765.05,0,1,1,Satisfied
100314,51,16815.2,1,1,0,Satisfied
100315,23,17242.3,0,0,1,Satisfied
100316,39,29233.47,0,1,0,Dissatisfied
100317,28,79491.16,1,1,0,Dissatisfied
100318,65,90669.92,1,0,1,Dissatisfied
100319,33,97533.63,0,1,1,Satisfied
100320,50,23996.68,1,0,0,Dissatisfied
100321,26,88248.46,1,1,0,Dissatisfied
100322,77,33497.25,1,1,0,Satisfied
100323,76,12171.21,0,1,0,Satisfied
100324,23,87132.47,1,0,1,Satisfied
100325,33,63974.46,0,1,1,Dissatisfied
100326,46,17308.36,0,0,1,Dissatisfied
100327,20,43553.29,0,1,0,Dissatisfied
100328,37,29438.51,0,1,0,Satisfied
100329,77,73942.66,1,0,0,Dissatisfied
100330,76,45888.21,1,0,0,Dissatisfied
100331,53,98938.71,0,1,0,Satisfied
100332,36,6419.75,0,0,0,Dissatisfied
100333,43,36146.51,0,1,0,Dissatisfied
100334,20,48708.12,1,0,0,Satisfied
100335,36,50810.22,1,1,0,Satisfied
100336,37,32277.65,1,0,0,Satisfied
100337,49,73194.78,1,0,1,Dissatisfied
100338,24,87599.96,1,1,0,Dissatisfied
100339,69,93933.21,1,1,1,Dissatisfied
100340,58,80704.24,0,0,1,Dissatisfied
100341,50,85207.44,1,1,1,Satisfied
100342,57,55503.98,1,0,0,Satisfied
100343,56,82762.93,1,1,0,Satisfied
100344,35,31046.89,1,0,0,Dissatisfied
100345,57,40449.4,1,0,1,Satisfied
100346,18,32374.39,1,0,1,Dissatisfied
100347,28,47271.35,1,0,0,Dissatisfied
100348,45,29272.38,0,1,0,Dissatisfied
100349,74,96199.53,0,1,0,Dissatisfied
100350,42,31971.62,1,0,0,Dissatisfied
100351,67,10706.41,0,0,1,Dissatisfied
100352,40,53154.9,1,1,0,Satisfied
100353,48,6652.81,1,0,0,Satisfied
100354,47,11943.77,1,0,0,Satisfied
100355,59,22719.55,1,0,0,Dissatisfied
100356,52,46970.67,0,0,0,Satisfied
100357,24,43891.84,1,0,0,Satisfied
100358,77,80169.49,1,1,0,Dissatisfied
100359,33,74207.99,0,0,1,Satisfied
100360,43,43205.51,0,1,0,Satisfied
100361,65,34036.72,1,0,0,Satisfied
100362,74,32330.41,1,0,1,Dissatisfied
100363,69,77625.51,1,0,0,Dissatisfied
100364,77,6155.17,1,1,0,Dissatisfied
100365,66,2269.34,0,0,0,Satisfied
100366,19,79758.89,0,0,0,Satisfied
100367,18,48237.49,0,1,0,Dissatisfied
100368,65,13957.23,1,0,0,Satisfied
100369,79,24321.03,0,1,0,Dissatisfied
100370,29,93317.89,1,1,1,Dissatisfied
100371,22,86090.79,1,0,0,Satisfied
100372,54,71268.72,1,0,1,Dissatisfied
100373,49,48740.3,0,0,1,Dissatisfied
100374,76,52512.04,1,1,1,Dissatisfied
100375,72,97549.21,0,0,1,Dissatisfied
100376,26,96611.27,0,1,0,Satisfied
100377,58,22311.64,0,1,0,Satisfied
100378,52,81299.35,1,0,1,Satisfied
100379,36,20527.02,0,1,0,Dissatisfied
100380,65,22140.21,1,0,0,Satisfied
100381,33,67933.21,0,0,0,Dissatisfied
100382,20,41095.11,0,1,0,Dissatisfied
100383,37,93222.9,0,0,0,Dissatisfied
100384,41,9811.96,1,0,0,Dissatisfied
100385,71,51641.04,1,1,1,Dissatisfied
100386,73,91933.63,1,1,0,Dissatisfied
100387,50,90507.25,1,0,1,Satisfied
100388,41,16496.39,1,1,0,Dissatisfied
100389,69,37297.13,1,0,0,Dissatisfied
100390,28,62293.02,1,1,0,Dissatisfied
100391,66,16780.09,1,1,1,Dissatisfied
100392,25,96834.2,0,0,1,Dissatisfied
100393,53,91560.18,1,0,0,Satisfied
100394,55,17528.07,1,1,0,Dissatisfied
100395,57,12994.39,1,1,1,Satisfied
100396,37,9455.44,1,0,1,Dissatisfied
100397,79,91034.92,0,0,0,Dissatisfied
100398,52,20168.76,1,0,0,Satisfied
100399,65,42212.21,0,0,1,Satisfied
100400,79,45436.29,1,1,0,Dissatisfied
100401,42,60302.09,1,0,0,Dissatisfied
100402,52,8101.8,1,1,0,Satisfied
100403,42,23449.1,0,1,1,Satisfied
100404,46,93217.55,0,1,0,Satisfied
100405,35,90932.6,0,0,1,Satisfied
100406,63,78347.77,0,1,1,Satisfied
100407,35,2920.72,1,1,0,Satisfied
100408,19,33373.67,1,0,0,Satisfied
100409,71,63167.91,1,0,1,Satisfied
100410,52,28243.83,1,1,0,Satisfied
100411,33,91049.08,0,0,0,Satisfied
100412,78,63755.06,0,1,1,Dissatisfied
100413,58,8118.77,0,0,1,Dissatisfied
100414,53,90991.55,1,0,0,Satisfied
100415,50,95818.9,1,0,0,Dissatisfied
100416,21,8693.53,1,0,0,Dissatisfied
100417,50,53703.66,0,0,1,Dissatisfied
100418,31,31033.06,0,0,1,Satisfied
100419,38,39891.07,1,0,0,Satisfied
100420,65,18785.47,0,0,1,Dissatisfied
100421,37,58229.14,1,0,1,Dissatisfied
100422,73,95839.96,0,1,0,Satisfied
100423,25,50804.19,0,0,1,Dissatisfied
100424,24,9208.54,1,1,0,Dissatisfied
100425,20,62380.13,0,1,1,Satisfied
100426,34,34682.08,1,0,0,Satisfied
100427,50,85736.59,1,0,1,Satisfied
100428,65,44033.14,1,1,0,Satisfied
100429,29,20091.12,1,1,0,Dissatisfied
100430,76,19919.46,1,0,0,Dissatisfied
100431,68,77107.65,0,1,1,Dissatisfied
100432,39,27293.17,1,0,0,Satisfied
100433,72,76956.11,1,0,1,Dissatisfied
100434,39,21382.84,0,0,0,Satisfied
100435,63,32846.95,1,0,1,Dissatisfied
100436,47,47083.21,1,1,0,Satisfied
100437,55,94376.39,1,1,0,Satisfied
100438,55,93241.41,1,1,0,Dissatisfied
100439,62,21480.32,0,0,0,Dissatisfied
100440,68,36463.69,1,0,1,Dissatisfied
100441,71,15790.54,0,0,1,Dissatisfied
100442,25,51488.52,0,0,0,Satisfied
100443,44,46597.67,1,0,1,Dissatisfied
100444,44,90175.26,1,0,0,Dissatisfied
100445,51,93070.53,0,0,0,Satisfied
100446,38,38973.17,1,1,0,Satisfied
100447,47,49682.06,1,1,0,Satisfied
100448,50,89727.39,1,0,1,Satisfied
100449,45,80864.07,1,1,1,Dissatisfied
100450,64,1361.97,1,0,0,Dissatisfied
100451,50,32685.9,0,0,0,Dissatisfied
100452,22,42755.65,0,1,1,Dissatisfied
100453,77,23741.91,1,1,0,Dissatisfied
100454,78,20757.59,0,0,0,Dissatisfied
100455,65,4740.67,1,0,0,Dissatisfied
100456,36,64693.6,1,1,1,Dissatisfied
100457,21,26988.52,1,0,1,Dissatisfied
100458,52,6182.37,0,0,1,Satisfied
100459,66,23866.95,0,1,0,Satisfied
100460,34,80389.48,0,0,1,Dissatisfied
100461,61,85297.43,1,0,0,Dissatisfied
100462,45,48823.56,0,0,1,Satisfied
100463,47,42191.0,1,1,0,Dissatisfied
100464,46,97807.52,0,1,0,Satisfied
100465,63,20855.9,1,0,1,Dissatisfied
100466,70,22320.57,0,0,1,Dissatisfied
100467,23,29894.85,1,0,1,Satisfied
100468,52,18102.97,0,0,0,Dissatisfied
100469,77,38557.19,0,0,1,Dissatisfied
100470,58,91172.59,1,0,1,Satisfied
100471,54,61919.44,0,0,1,Satisfied
100472,41,41782.71,1,1,1,Satisfied
100473,46,93506.67,1,0,0,Satisfied
100474,66,5797.96,1,0,0,Satisfied
100475,63,21817.34,1,0,1,Dissatisfied
100476,70,57022.97,0,1,0,Dissatisfied
100477,48,61939.71,0,0,0,Dissatisfied
100478,52,4916.19,0,0,0,Dissatisfied
100479,77,40900.84,0,1,1,Satisfied
100480,50,65266.24,0,1,0,Dissatisfied
100481,69,70108.98,0,1,0,Dissatisfied
100482,78,64175.85,1,0,0,Dissatisfied
100483,38,32735.76,1,0,0,Dissatisfied
100484,49,10258.49,0,1,0,Dissatisfied
100485,40,43284.13,0,0,0,Dissatisfied
100486,50,13746.69,0,0,1,Satisfied
100487,20,94814.74,0,1,0,Satisfied
100488,35,48041.92,1,1,1,Satisfied
100489,42,32408.66,0,1,1,Satisfied
100490,59,76864.1,0,1,0,Satisfied
100491,48,50296.91,1,1,0,Dissatisfied
100492,71,31693.37,1,1,1,Satisfied
100493,75,81384.81,1,0,0,Dissatisfied
100494,20,86848.06,1,1,0,Dissatisfied
100495,57,67627.81,0,0,0,Satisfied
100496,63,5649.48,0,0,0,Dissatisfied
100497,41,57065.97,0,0,0,Dissatisfied
100498,67,76566.2,0,0,0,Dissatisfied
100499,49,14513.8,1,0,0,Dissatisfied
100500,64,23638.4,1,0,1,Satisfied
100501,39,88367.02,0,0,1,Dissatisfied
100502,40,2992.05,0,0,0,Satisfied
100503,19,75519.99,0,0,0,Dissatisfied
100504,44,47903.56,1,0,1,Dissatisfied
100505,59,45230.44,0,0,0,Dissatisfied
100506,19,1702.56,0,1,0,Satisfied
100507,43,82120.42,1,0,1,Satisfied
100508,34,36622.67,0,0,1,Dissatisfied
100509,57,54535.8,0,0,0,Satisfied
100510,50,68052.77,0,1,0,Satisfied
100511,26,70560.33,0,1,0,Dissatisfied
100512,60,95642.03,0,0,0,Dissatisfied
100513,71,53602.66,0,1,0,Satisfied
100514,65,40572.24,1,1,0,Dissatisfied
100515,56,95416.66,1,1,0,Dissatisfied
100516,46,64568.91,1,0,0,Dissatisfied
100517,59,30516.89,1,1,0,Dissatisfied
100518,72,13519.96,0,0,1,Dissatisfied
100519,43,84412.9,1,1,1,Satisfied
100520,52,36855.98,0,1,1,Satisfied
100521,67,66386.5,0,1,0,Satisfied
100522,42,47610.83,0,0,0,Satisfied
100523,41,20694.05,0,1,1,Dissatisfied
100524,30,60566.97,1,0,1,Dissatisfied
100525,77,7007.62,0,0,1,Satisfied
100526,75,41920.9,0,0,0,Dissatisfied
100527,24,55114.88,0,1,1,Satisfied
100528,74,44168.65,0,0,1,Dissatisfied
100529,53,75118.55,0,0,0,Dissatisfied
100530,62,82964.57,0,0,0,Dissatisfied
100531,37,77353.06,0,1,0,Satisfied
100532,18,4842.48,1,1,1,Satisfied
100533,25,20218.75,0,1,0,Satisfied
100534,63,54124.14,0,0,1,Satisfied
100535,33,93547.38,1,1,0,Dissatisfied
100536,31,83660.72,1,1,1,Dissatisfied
100537,29,84410.92,0,1,0,Dissatisfied
100538,68,31017.61,0,1,0,Dissatisfied
100539,40,43515.34,1,1,1,Satisfied
100540,32,47599.89,0,1,1,Satisfied
100541,45,16579.79,1,0,1,Dissatisfied
100542,51,4075.74,0,0,0,Satisfied
100543,19,94743.39,1,1,0,Satisfied
100544,49,24830.55,1,0,0,Satisfied
100545,40,24754.94,1,1,0,Dissatisfied
100546,39,9254.53,0,0,0,Satisfied
100547,68,92922.27,0,0,0,Satisfied
100548,42,58393.97,0,0,1,Satisfied
100549,75,67036.65,1,1,0,Dissatisfied
100550,79,91246.11,1,1,1,Dissatisfied
100551,78,35216.4,0,0,1,Dissatisfied
100552,39,62529.22,1,0,0,Dissatisfied
100553,75,4841.15,0,0,1,Dissatisfied
100554,75,19490.48,0,0,0,Dissatisfied
100555,39,83293.33,1,0,1,Dissatisfied
100556,66,76910.07,0,1,1,Dissatisfied
100557,69,35713.63,0,1,1,Satisfied
100558,59,38304.25,0,0,1,Dissatisfied
100559,23,53821.89,1,0,0,Dissatisfied
100560,32,1023.86,1,1,0,Dissatisfied
100561,71,24883.19,1,1,0,Dissatisfied
100562,60,21614.95,1,1,0,Satisfied
100563,77,25797.81,1,0,1,Dissatisfied
100564,54,80784.68,0,0,1,Satisfied
100565,50,28687.71,1,0,0,Dissatisfied
100566,25,19960.61,1,1,0,Dissatisfied
100567,70,50922.08,1,1,0,Satisfied
100568,77,86698.86,1,0,0,Satisfied
100569,61,24893.62,1,1,0,Dissatisfied
100570,61,8775.09,0,0,1,Satisfied
100571,22,36284.07,0,1,1,Satisfied
100572,56,75017.53,1,0,0,Dissatisfied
100573,21,55518.36,1,0,0,Satisfied
100574,23,81862.54,1,0,1,Satisfied
100575,62,95999.62,0,0,0,Dissatisfied
100576,49,79473.59,0,1,1,Satisfied
100577,69,60776.5,1,0,0,Dissatisfied
100578,47,49840.82,1,1,0,Dissatisfied
100579,64,4966.84,1,0,1,Dissatisfied
100580,52,98447.88,0,0,0,Satisfied
100581,72,38964.63,1,1,0,Satisfied
100582,57,16070.59,1,1,1,Dissatisfied
100583,69,67004.18,1,0,1,Dissatisfied
100584,33,29144.54,0,1,0,Dissatisfied
100585,30,58992.05,0,1,0,Dissatisfied
100586,67,59090.02,1,0,0,Satisfied
100587,77,45127.25,0,1,1,Satisfied
100588,59,83775.74,1,0,0,Dissatisfied
100589,47,27231.74,0,0,1,Dissatisfied
100590,36,45414.63,1,1,1,Dissatisfied
100591,34,54231.52,0,0,0,Dissatisfied
100592,73,66698.85,0,0,0,Satisfied
100593,36,78613.21,1,0,0,Dissatisfied
100594,45,40085.92,1,1,0,Dissatisfied
100595,75,64958.65,0,1,1,Dissatisfied
100596,72,15910.48,0,0,1,Satisfied
100597,43,93332.16,1,1,0,Dissatisfied
100598,54,38922.82,0,0,1,Dissatisfied
100599,43,73222.62,1,1,0,Satisfied
100600,70,3013.77,0,1,0,Dissatisfied
