Id,Active_cust,estimated_income,months_on_network,complaints_count,plan_changes_count,relocated_new_place,monthly_bill_avg,CSAT_Survay_Score,high_talktime_flag,internet_time
196,Yes,74223,119,1,2,No,103.94,5,No,226
197,No,75054,28,1,4,No,77.79,4,No,127
198,No,34105,3,2,1,No,190.34,1,No,105
199,No,95132,116,1,1,No,124.48,3,No,189
200,No,41793,107,2,1,No,148.93,2,No,35
201,Yes,39020,21,1,4,No,30.71,1,Yes,10
202,Yes,20000,78,2,1,No,195.2,1,Yes,112
203,Yes,74477,93,1,3,No,50.53,1,No,75
204,No,32138,27,1,2,No,183.0,3,No,214
205,Yes,54661,41,2,2,No,161.72,2,Yes,114
206,Yes,81757,87,0,2,No,164.39,3,Yes,182
207,Yes,68841,46,0,2,No,152.12,3,Yes,133
208,Yes,52526,49,0,2,No,137.06,2,Yes,103
209,Yes,33186,93,0,4,No,81.29,5,No,39
210,Yes,62847,107,0,2,No,82.86,1,Yes,59
211,Yes,82105,76,0,0,No,74.21,2,Yes,148
212,Yes,79016,12,1,2,No,177.41,2,Yes,67
213,Yes,100735,11,0,3,No,130.02,2,No,9
214,Yes,51930,23,0,2,No,34.52,4,Yes,95
215,No,38659,94,0,0,No,40.07,2,No,159
216,Yes,71199,26,0,3,No,183.37,5,Yes,0
217,Yes,69228,50,1,2,Yes,167.62,5,No,40
218,No,64902,119,2,2,No,166.3,3,Yes,5
219,Yes,50072,109,0,1,No,195.62,3,No,146
220,No,20000,41,0,4,No,144.57,2,Yes,137
221,Yes,44867,25,2,3,No,186.45,3,Yes,75
222,Yes,76141,44,1,3,No,74.81,5,Yes,78
223,Yes,70679,52,0,3,No,126.67,1,Yes,96
224,Yes,84305,84,0,2,Yes,49.08,1,No,221
225,Yes,71903,111,2,0,Yes,61.06,5,No,3
226,Yes,79720,54,2,1,No,133.61,3,No,121
227,No,80294,13,1,0,No,199.64,2,No,156
228,Yes,65409,101,0,2,No,177.38,3,Yes,84
229,No,65549,35,1,4,No,126.33,2,No,181
230,Yes,20000,49,0,2,No,181.59,5,Yes,26
231,No,51868,73,1,4,No,127.72,3,No,13
232,Yes,52731,63,0,4,No,52.56,4,Yes,44
233,Yes,62823,98,0,4,No,82.41,1,No,57
234,Yes,46393,13,1,1,No,153.98,2,Yes,178
235,Yes,83751,80,1,4,No,37.62,2,No,106
236,No,47369,1,1,1,No,188.33,3,Yes,39
237,Yes,87048,89,2,4,No,88.67,5,No,169
238,Yes,45776,80,0,0,No,176.14,5,Yes,166
239,Yes,52924,119,1,1,No,93.26,4,No,46
240,Yes,51403,32,0,1,Yes,77.37,2,No,200
241,No,55075,47,0,0,No,83.39,2,Yes,73
242,No,88572,62,1,4,No,129.79,4,Yes,211
243,No,58458,0,0,2,No,158.28,2,No,91
244,Yes,58966,105,0,4,No,50.7,1,Yes,13
245,Yes,50164,36,0,0,No,172.77,1,No,55
246,No,59804,47,0,0,No,106.32,3,No,68
247,Yes,69328,1,2,2,No,188.34,3,Yes,5
248,No,60696,13,1,2,No,114.43,4,No,25
249,No,61994,94,0,2,No,49.24,3,No,136
250,No,85320,107,2,0,Yes,193.88,4,No,45
251,Yes,70472,106,2,0,No,160.44,2,No,53
252,Yes,41982,117,0,4,No,39.94,5,Yes,211
253,No,63294,27,2,4,No,85.15,2,Yes,132
254,Yes,54232,40,0,0,No,70.72,5,Yes,77
255,Yes,75420,17,0,0,No,50.45,3,Yes,168
256,Yes,67058,79,1,2,Yes,187.23,2,Yes,183
257,No,87606,57,0,4,No,177.14,3,No,72
258,Yes,50199,10,2,3,No,46.24,2,Yes,98
259,Yes,61151,71,0,4,Yes,78.58,5,No,159
260,Yes,43717,34,1,0,Yes,141.69,4,No,113
261,Yes,64163,82,0,1,No,110.54,4,No,169
262,No,34268,47,0,0,No,176.5,5,No,153
263,Yes,71429,31,0,4,No,162.13,5,Yes,157
264,Yes,63890,71,0,4,Yes,62.07,2,No,108
265,No,68103,58,0,0,No,82.79,4,No,177
266,No,80762,43,0,2,No,80.44,5,No,59
267,Yes,69496,50,1,3,Yes,147.13,1,No,110
268,No,39464,109,3,2,No,141.69,5,Yes,216
269,Yes,53882,98,1,1,No,195.51,5,Yes,139
270,Yes,63396,11,0,0,No,59.47,3,No,29
271,No,58438,113,2,2,No,54.04,5,No,40
272,No,60880,108,0,2,No,41.04,1,No,3
273,No,97429,17,0,3,No,128.56,2,No,166
274,No,67007,95,0,1,No,68.75,3,No,209
275,Yes,72645,89,0,4,No,151.24,1,No,124
276,Yes,24823,37,0,3,No,65.23,4,Yes,109
277,No,79920,116,0,0,No,190.8,2,Yes,31
278,Yes,122039,69,0,0,Yes,83.4,4,Yes,13
279,No,91913,12,1,3,No,120.57,5,No,55
280,No,56196,6,0,0,No,79.2,1,No,56
281,No,110621,99,1,0,No,73.23,4,Yes,91
282,Yes,65549,118,0,4,No,128.75,2,Yes,212
283,Yes,71130,70,0,3,No,90.18,5,No,48
284,Yes,59651,111,0,4,No,138.37,4,No,81
285,Yes,59133,75,1,1,No,62.03,1,No,54
286,Yes,20038,34,1,3,No,64.2,2,Yes,4
287,Yes,80749,1,2,2,No,126.11,2,Yes,192
288,Yes,59060,66,1,3,No,95.65,2,No,174
289,Yes,61238,100,1,0,No,114.86,2,Yes,209
290,Yes,70466,84,1,4,No,131.85,5,Yes,120
291,Yes,56708,93,1,4,No,40.38,5,Yes,184
292,Yes,70276,90,2,2,No,91.36,2,No,184
293,No,89061,26,0,3,No,65.17,2,No,239
294,Yes,73096,10,1,0,No,61.81,1,No,189
295,Yes,61930,81,1,0,No,161.03,4,No,52
296,Yes,62530,6,1,2,Yes,116.66,2,Yes,86
297,No,69011,1,1,0,No,127.13,1,Yes,25
298,Yes,48356,57,0,1,No,110.51,5,No,87
299,Yes,69157,89,1,4,No,59.87,4,No,43
300,Yes,78691,71,1,2,No,98.66,1,No,195
301,Yes,66750,87,1,2,No,124.02,4,Yes,72
302,Yes,56517,56,0,0,No,188.16,2,No,108
303,Yes,59257,0,0,4,Yes,163.84,1,No,193
304,Yes,78043,51,2,4,No,79.71,1,No,47
305,No,42996,111,0,4,No,41.02,2,Yes,201
306,No,48670,46,0,2,No,193.45,3,Yes,102
307,Yes,32861,95,0,1,No,116.89,1,No,187
308,Yes,65679,98,1,2,No,73.38,5,No,7
309,No,82237,81,1,1,No,63.61,1,No,52
310,Yes,91629,33,2,3,No,176.59,3,No,139
311,Yes,95973,100,0,2,Yes,151.76,4,Yes,239
312,Yes,51190,110,0,4,No,76.01,2,No,76
313,Yes,70000,6,4,0,No,77.24,5,No,16
314,No,56953,22,0,3,Yes,79.04,4,Yes,139
315,No,97952,80,0,1,No,94.87,4,No,116
316,Yes,91068,55,0,4,No,43.01,1,No,45
317,Yes,68361,69,0,0,No,133.05,4,No,199
318,Yes,52612,62,2,0,No,40.49,2,No,27
319,Yes,20000,73,0,2,No,132.79,1,Yes,206
320,Yes,36328,23,0,0,Yes,73.99,5,No,197
321,Yes,27954,42,1,1,No,42.82,2,Yes,34
322,No,36075,44,0,1,No,109.4,5,No,132
323,Yes,102576,27,0,0,No,65.14,5,No,185
324,Yes,39099,94,0,0,No,129.23,4,Yes,32
325,No,43781,99,1,1,No,96.51,2,Yes,218
326,No,46589,30,2,4,No,81.75,4,Yes,201
327,Yes,116970,53,0,3,No,191.84,5,Yes,82
328,Yes,63750,32,0,0,No,77.87,1,No,38
329,Yes,84884,63,0,0,Yes,196.81,3,Yes,128
330,Yes,68507,31,1,2,No,138.67,4,Yes,130
331,Yes,25311,74,3,2,No,138.76,5,No,46
332,No,95652,74,1,0,No,68.3,3,Yes,210
333,Yes,73021,3,0,1,No,166.33,3,No,181
334,Yes,62565,69,1,4,No,176.86,3,Yes,155
335,Yes,100202,31,1,3,No,126.54,4,No,80
336,Yes,58069,89,0,0,No,119.59,4,No,24
337,No,62111,31,1,3,Yes,88.72,4,No,223
338,No,58097,38,0,1,No,171.29,5,No,223
339,Yes,86525,105,0,2,No,89.27,5,No,140
340,Yes,81276,28,0,2,No,173.9,1,No,34
341,Yes,70572,68,0,2,No,185.24,1,No,110
342,Yes,43964,66,0,4,No,136.23,1,Yes,1
343,Yes,57595,111,0,1,No,100.36,5,Yes,47
344,Yes,43958,31,0,2,No,47.69,2,Yes,151
345,Yes,88207,104,1,0,No,147.8,5,Yes,22
346,Yes,33505,13,2,3,No,111.15,1,No,86
347,Yes,96887,23,0,3,No,37.83,1,Yes,164
348,Yes,90753,32,0,4,No,95.99,5,No,187
349,Yes,46629,97,1,0,No,106.15,3,No,61
350,Yes,56670,94,2,1,No,85.57,1,No,153
351,Yes,50751,113,1,0,No,56.53,3,No,44
352,No,73604,24,1,1,No,62.97,5,No,238
353,Yes,93248,117,0,3,No,166.86,4,No,133
354,Yes,88712,72,0,4,No,158.96,4,No,178
355,Yes,56341,23,0,4,No,132.68,4,No,89
356,Yes,90096,37,1,1,No,112.81,5,No,152
357,Yes,88436,69,1,2,No,146.27,4,No,137
358,Yes,61223,53,0,1,No,152.71,3,Yes,45
359,No,64810,36,1,1,No,52.06,1,Yes,194
360,Yes,95834,60,1,1,No,45.91,4,No,21
361,Yes,86167,112,2,2,No,113.08,1,Yes,85
362,Yes,89495,53,0,4,Yes,171.43,5,No,5
363,Yes,116707,112,0,4,No,85.37,5,No,33
364,Yes,75945,39,1,2,No,172.09,4,No,121
365,No,71513,13,0,4,No,70.43,5,Yes,176
366,Yes,92158,38,0,0,No,119.75,5,No,22
367,No,104756,19,2,1,No,94.92,1,No,210
368,No,52772,93,3,0,No,62.19,4,No,215
369,Yes,60962,6,0,4,No,116.4,3,Yes,220
370,Yes,44628,86,1,2,No,167.63,2,No,148
371,Yes,71854,54,1,0,No,70.84,4,No,103
372,Yes,82785,51,1,3,No,103.45,5,Yes,24
373,Yes,46022,63,1,0,No,185.54,3,Yes,197
374,Yes,87675,61,0,4,No,141.43,5,No,102
375,Yes,55933,104,3,3,Yes,88.13,2,Yes,212
376,Yes,54304,20,1,1,No,194.44,5,No,193
377,No,87598,65,0,1,No,164.68,1,No,80
378,Yes,52497,26,2,2,No,82.18,3,No,41
379,No,36930,118,0,0,No,95.47,3,No,107
380,Yes,79873,63,0,1,No,93.97,4,Yes,154
381,Yes,62365,29,0,4,No,194.05,3,No,236
382,Yes,88961,84,2,0,No,107.37,5,No,133
383,Yes,81659,37,0,3,No,172.26,3,Yes,227
384,No,30034,86,0,2,No,53.61,2,No,40
385,No,91310,98,1,1,No,98.79,2,No,158
386,No,102994,20,0,0,No,39.93,4,Yes,159
387,Yes,85672,37,1,3,No,50.91,2,No,100
388,Yes,86477,94,2,4,Yes,141.06,1,No,49
389,No,60046,113,0,4,No,31.43,3,No,143
390,No,55466,72,2,4,No,101.35,4,Yes,190
391,No,69248,83,2,2,No,132.95,1,No,57
392,Yes,83398,32,0,4,No,90.75,1,Yes,9
393,Yes,82894,55,2,1,No,104.53,5,Yes,56
394,No,56244,108,1,3,No,60.64,5,No,53
395,Yes,54216,79,2,1,No,120.63,3,Yes,142
396,No,35196,95,1,0,No,122.81,2,No,15
397,No,77938,82,1,1,No,36.99,1,No,106
398,Yes,57204,81,2,1,No,118.96,5,No,143
399,No,58979,27,1,4,No,49.88,4,No,133
400,No,99557,86,3,3,Yes,152.82,1,Yes,159
401,Yes,76967,57,2,3,No,116.49,1,Yes,155
402,No,71457,57,0,3,Yes,131.85,1,Yes,67
403,Yes,81603,96,0,2,No,171.89,5,No,70
404,No,93412,72,3,2,Yes,185.4,3,No,223
405,Yes,32650,49,1,0,No,144.38,5,No,151
406,No,53687,83,2,3,No,58.07,1,Yes,40
407,Yes,60357,19,1,1,Yes,117.45,1,Yes,131
408,Yes,45433,79,0,2,No,72.33,4,No,118
409,No,59695,36,1,3,No,82.72,5,No,41
410,Yes,33977,79,0,1,No,163.39,1,No,96
411,Yes,83443,74,0,1,No,75.16,1,No,18
412,No,54649,33,0,2,No,77.92,4,Yes,192
413,No,69019,13,1,3,No,187.57,1,No,68
414,Yes,66026,85,1,0,No,30.13,4,No,205
415,Yes,76148,19,0,2,No,88.4,4,No,12
416,Yes,20000,38,0,0,No,105.55,3,No,96
417,Yes,74005,12,1,3,No,91.02,1,Yes,89
418,Yes,59498,68,0,1,Yes,156.81,5,No,147
419,Yes,73137,92,2,0,No,135.81,1,No,54
420,No,41410,108,0,4,No,97.84,4,No,207
421,No,73273,59,1,0,No,191.8,3,Yes,97
422,No,90970,21,0,1,No,113.38,3,No,20
423,Yes,68795,41,1,4,Yes,187.67,3,Yes,83
424,Yes,50655,69,1,4,No,121.4,3,No,20
425,Yes,51529,26,0,0,No,179.8,5,Yes,145
426,Yes,76524,15,1,1,No,51.92,3,No,136
427,Yes,76392,60,2,3,Yes,106.3,1,No,54
428,No,72130,78,0,3,No,184.31,5,Yes,24
429,Yes,64249,86,0,1,No,165.9,1,Yes,225
430,Yes,69059,46,0,3,No,160.79,3,Yes,33
431,Yes,63701,58,0,1,No,110.19,1,No,99
432,No,57382,20,2,3,No,119.67,4,Yes,194
433,Yes,80149,35,0,4,No,84.15,2,Yes,162
434,Yes,71202,105,1,0,No,163.87,4,Yes,161
435,Yes,90810,8,1,4,No,89.62,1,No,94
436,No,87337,11,0,0,No,90.49,1,No,193
437,Yes,70549,42,0,3,No,132.01,4,Yes,130
438,No,76907,21,0,0,No,124.25,4,No,84
439,No,45856,86,1,4,No,177.64,3,Yes,143
440,Yes,63448,39,1,3,Yes,97.54,4,No,85
441,Yes,71853,48,2,3,No,110.19,3,No,163
442,No,33345,110,0,3,No,134.29,4,No,233
443,Yes,73588,31,0,1,No,155.17,2,Yes,8
444,Yes,45815,98,0,3,No,61.77,5,No,21
445,No,48008,103,1,0,No,54.62,4,Yes,161
446,No,54410,75,2,3,No,134.5,2,No,124
447,No,64389,58,1,2,No,88.22,5,No,29
448,No,38439,10,0,1,No,136.23,3,No,189
449,Yes,82132,61,1,2,Yes,55.33,1,No,82
450,Yes,68548,87,3,2,No,102.12,2,Yes,127
451,No,103499,89,1,0,No,87.4,5,No,229
452,Yes,71001,23,0,1,No,101.44,4,No,158
453,Yes,76416,61,2,3,No,39.8,3,No,207
454,No,47922,50,2,0,No,131.44,2,No,85
455,Yes,41363,75,1,2,No,153.84,2,No,137
456,Yes,77383,10,1,0,No,39.43,4,Yes,209
457,Yes,43134,38,0,0,Yes,69.6,3,No,94
458,Yes,77836,94,0,1,No,30.88,1,No,207
459,Yes,99130,5,0,0,No,102.95,3,No,176
460,Yes,83915,41,1,1,No,33.2,2,No,238
461,Yes,76408,58,3,3,Yes,114.34,2,Yes,81
462,Yes,70389,101,0,3,No,90.94,3,No,116
463,No,57320,115,0,4,No,132.44,4,No,42
464,Yes,62708,13,2,1,No,161.6,3,No,101
465,No,53691,45,2,0,No,122.61,3,No,92
466,Yes,38691,78,0,4,No,105.25,5,No,223
467,Yes,65708,17,1,1,No,117.33,5,No,88
468,No,87157,97,0,3,No,110.22,3,No,10
469,Yes,39224,70,0,0,No,83.89,2,No,96
470,No,92969,66,1,1,No,104.07,2,No,34
471,Yes,89343,41,1,2,No,156.88,2,No,215
472,No,72939,2,1,0,No,62.63,3,Yes,191
473,Yes,73100,10,1,0,No,94.68,5,No,204
474,No,61275,85,0,1,No,199.35,5,No,97
475,Yes,65840,10,1,1,No,43.81,2,No,36
476,No,55728,59,0,4,Yes,73.88,1,No,157
477,Yes,65632,76,0,4,Yes,60.46,2,No,108
478,Yes,67796,13,3,0,Yes,172.85,5,No,187
479,No,102624,51,3,0,No,80.87,2,No,66
480,Yes,76312,50,0,0,No,92.94,5,No,49
481,Yes,60811,69,2,2,No,138.23,2,No,160
482,Yes,63021,13,0,1,No,73.92,5,Yes,213
483,Yes,50734,80,2,1,Yes,199.82,3,No,162
484,Yes,54031,42,1,0,Yes,50.2,2,Yes,79
485,Yes,83213,77,0,0,No,179.8,5,Yes,193
486,No,55120,64,1,1,No,86.48,4,Yes,15
487,Yes,52649,119,0,0,No,49.53,4,No,45
488,Yes,53149,15,1,1,No,82.2,3,No,99
489,No,50416,71,0,3,No,110.15,2,No,155
490,No,87543,104,2,1,No,125.59,3,No,116
491,Yes,67854,18,0,1,No,164.92,1,Yes,14
492,Yes,59353,68,0,0,No,120.86,4,Yes,2
493,Yes,65585,101,2,1,No,116.15,2,Yes,230
494,Yes,69345,82,1,2,No,30.63,2,Yes,180
495,Yes,50054,10,0,3,No,159.62,3,No,90
496,Yes,37208,109,1,4,No,66.67,2,No,85
497,Yes,91770,103,1,3,No,112.35,4,No,95
498,Yes,84760,110,0,0,No,97.95,4,Yes,91
499,No,72556,114,0,1,No,165.47,1,No,112
500,No,83383,72,0,2,Yes,103.25,3,No,92
501,Yes,103287,52,0,4,No,103.4,2,Yes,110
502,Yes,54291,44,0,0,Yes,101.36,4,No,54
503,Yes,42599,105,0,2,No,60.51,3,Yes,81
504,No,78230,38,2,1,No,70.81,5,Yes,97
505,Yes,35663,106,0,2,No,99.98,3,No,29
